Date,BTC_Change,BTC_High,BTC_Open,BTC_Price,BTC_Low,BTC_Range,BTC_Volume,USD_Change,USD_High,USD_Low,USD_Open,USD_Price,USD_Range,USD_Volume
2017-07-03 00:00:00,2.297657209793874,2595,2498.560059,2564.060059,2480.469971,114.53002900000001,964112000,0.0057,95.995,95.385,95.405,95.969,0.6099999999999994,19920
2017-07-04 00:00:00,1.4656378218635213,2631.590088,2561,2601.639893,2559.350098,72.23999000000003,985516032,0,96.085,95.805,95.89,95.969,0.2799999999999869,7550
2017-07-05 00:00:00,0.01345678166075097,2622.649902,2602.870117,2601.98999,2538.550049,84.09985300000017,941566016,0.0009,96.255,95.825,95.905,96.059,0.4299999999999926,19130
2017-07-06 00:00:00,0.2525017015918603,2616.719971,2608.100098,2608.560059,2581.689941,35.0300299999999,761956992,-0.005,96.11,95.56,96.005,95.575,0.5499999999999972,14270
2017-07-07 00:00:00,-3.446351433996247,2916.139893,2608.590088,2518.659912,2498.870117,417.2697760000001,917411968,0.0023,95.93,95.525,95.585,95.792,0.40500000000000114,20490
2017-07-10 00:00:00,-5.792470156825558,2537.159912,2525.25,2372.560059,2321.129883,216.030029,1111200000,-0.0002,95.945,95.69,95.795,95.777,0.25499999999999545,20010
2017-07-11 00:00:00,-1.4655064207164896,2413.469971,2385.889893,2337.790039,2296.810059,116.65991200000008,1329760000,-0.0037,95.96,95.405,95.83,95.422,0.5549999999999926,16460
2017-07-12 00:00:00,2.611442772085485,2423.709961,2332.77002,2398.840088,2275.139893,148.570068,1117410048,0.0009,95.745,95.275,95.42,95.512,0.46999999999999886,20850
2017-07-13 00:00:00,-1.7066659092783936,2425.219971,2402.699951,2357.899902,2340.830078,84.38989300000003,835769984,0,95.695,95.245,95.53,95.508,0.44999999999998863,18650
2017-07-14 00:00:00,-5.28265911094644,2363.25,2360.590088,2233.340088,2183.219971,180.030029,882502976,-0.0061,95.615,94.87,95.55,94.93,0.7449999999999903,23340
2017-07-17 00:00:00,15.472426151408428,2230.48999,1932.619995,2228.409912,1932.619995,297.869995,1201760000,-0.0003,95.12,94.8,94.885,94.904,0.3200000000000074,12280
2017-07-18 00:00:00,4.05984421954052,2387.610107,2233.52002,2318.879883,2164.77002,222.84008700000004,1512450048,-0.0053,94.97,94.275,94.95,94.402,0.6949999999999932,33620
2017-07-19 00:00:00,-1.959995915838477,2397.169922,2323.080078,2273.429932,2260.22998,136.93994199999997,1245100032,0.002,94.69,94.445,94.475,94.588,0.24500000000000455,11880
2017-07-20 00:00:00,23.93608698207286,2900.699951,2269.889893,2817.600098,2269.889893,630.810058,2249260032,-0.005,94.98,93.89,94.56,94.117,1.0900000000000034,48230
2017-07-21 00:00:00,-5.318004073976289,2838.409912,2838.409912,2667.76001,2621.850098,216.5598140000002,1489449984,-0.0047,94.17,93.67,94.115,93.679,0.5,15570
2017-07-24 00:00:00,0.8958469776563835,2777.26001,2732.699951,2754.860107,2699.189941,78.07006899999988,866473984,0.0013,93.945,93.65,93.785,93.798,0.2949999999999875,13390
2017-07-25 00:00:00,-6.475106541589623,2768.080078,2757.5,2576.47998,2480.959961,287.12011699999994,1460089984,0.001,93.96,93.46,93.85,93.888,0.5,23120
2017-07-26 00:00:00,-1.8253597685629994,2610.76001,2577.77002,2529.449951,2450.800049,159.95996100000002,937404032,-0.0041,94.115,93.22,93.955,93.505,0.894999999999996,30050
